fecha;riesgo_pais
10/03/2021;1647
09/03/2021;1639
08/03/2021;1598
05/03/2021;1590
04/03/2021;1552
03/03/2021;1547
02/03/2021;1543
01/03/2021;1512
26/02/2021;1511
25/02/2021;1499
24/02/2021;1505
23/02/2021;1514
22/02/2021;1509
22/02/2021;1501
19/02/2021;1488
18/02/2021;1482
17/02/2021;1473
16/02/2021;1497
12/02/2021;1456
11/02/2021;1463
10/02/2021;1456
09/02/2021;1448
08/02/2021;1434
05/02/2021;1445
04/02/2021;1455
03/02/2021;1455
02/02/2021;1440
01/02/2021;1438
29/01/2021;1445
28/01/2021;1444
27/01/2021;1444
26/01/2021;1430
25/01/2021;1433
22/01/2021;1422
21/01/2021;1440
20/01/2021;1419
19/01/2021;1429
18/01/2021;1451
15/01/2021;1451
14/01/2021;1460
13/01/2021;1449
12/01/2021;1415
11/01/2021;1395
08/01/2021;1384
07/01/2021;1374
06/01/2021;1374
05/01/2021;1412
04/01/2021;1400
31/12/2020;1368
30/12/2020;1373
29/12/2020;1368
28/12/2020;1362
24/12/2020;1356
23/12/2020;1358
22/12/2020;1363
21/12/2020;1362
18/12/2020;1365
17/12/2020;1380
16/12/2020;1382
15/12/2020;1387
14/12/2020;1369
11/12/2020;1394
10/12/2020;1418
09/12/2020;1434
08/12/2020;1452
07/12/2020;1456
04/12/2020;1427
03/12/2020;1426
02/12/2020;1411
01/12/2020;1405
30/11/2020;1410
27/11/2020;1376
26/11/2020;1376
25/11/2020;1376
24/11/2020;1369
23/11/2020;1375
20/11/2020;1378
19/11/2020;1370
18/11/2020;1357
17/11/2020;1350
16/11/2020;1323
13/11/2020;1331
12/11/2020;1342
11/11/2020;1352
10/11/2020;1352
09/11/2020;1353
06/11/2020;1391
05/11/2020;1402
04/11/2020;1430
03/11/2020;1435
02/11/2020;1464
30/10/2020;1482
29/10/2020;1480
28/10/2020;1481
27/10/2020;1460
26/10/2020;1445
23/10/2020;1425
22/10/2020;1440
21/10/2020;1445
20/10/2020;1434
19/10/2020;1431
16/10/2020;1397
15/10/2020;1406
14/10/2020;1404
13/10/2020;1368
12/10/2020;1343
09/10/2020;1343
08/10/2020;1366
07/10/2020;1374
06/10/2020;1373
05/10/2020;1350
02/10/2020;1353
01/10/2020;1339
30/09/2020;1300
29/09/2020;1333
28/09/2020;1340
25/09/2020;1332
24/09/2020;1359
23/09/2020;1390
22/09/2020;1353
21/09/2020;1338
18/09/2020;1259
17/09/2020;1237
16/09/2020;1181
15/09/2020;1119
14/09/2020;1120
11/09/2020;1108
10/09/2020;1101
09/09/2020;2120
08/09/2020;2120
07/09/2020;2117
04/09/2020;2117
03/09/2020;2128
02/09/2020;2123
01/09/2020;2127
31/08/2020;2147
28/08/2020;2142
27/08/2020;2149
26/08/2020;2146
25/08/2020;2137
24/08/2020;2140
21/08/2020;2153
20/08/2020;2158
19/08/2020;2142
18/08/2020;2139
17/08/2020;2131
14/08/2020;2112
13/08/2020;2101
12/08/2020;2099
11/08/2020;2083
10/08/2020;2084
07/08/2020;2091
06/08/2020;2056
05/08/2020;2027
04/08/2020;2111
03/08/2020;2119
31/07/2020;2263
30/07/2020;2278
29/07/2020;2280
28/07/2020;2242
27/07/2020;2211
24/07/2020;2210
23/07/2020;2221
22/07/2020;2278
21/07/2020;2356
20/07/2020;2381
17/07/2020;2359
16/07/2020;2343
15/07/2020;2341
14/07/2020;2366
13/07/2020;2308
10/07/2020;2299
09/07/2020;2337
08/07/2020;2293
07/07/2020;2343
06/07/2020;2378
03/07/2020;2509
02/07/2020;2509
01/07/2020;2497
30/06/2020;2495
29/06/2020;2470
26/06/2020;2533
25/06/2020;2527
24/06/2020;2514
23/06/2020;2461
22/06/2020;2487
19/06/2020;2541
18/06/2020;2603
17/06/2020;2541
16/06/2020;2524
15/06/2020;2605
12/06/2020;2578
11/06/2020;2609
10/06/2020;2535
09/06/2020;2600
08/06/2020;2478
05/06/2020;2555
04/06/2020;2534
03/06/2020;2481
02/06/2020;2576
01/06/2020;2615
29/05/2020;2627
28/05/2020;2728
27/05/2020;2664
26/05/2020;2631
25/05/2020;2779
22/05/2020;2779
21/05/2020;2784
20/05/2020;2782
19/05/2020;2751
18/05/2020;2690
15/05/2020;2837
14/05/2020;3040
13/05/2020;3036
12/05/2020;3005
11/05/2020;3111
08/05/2020;3322
07/05/2020;3335
06/05/2020;3374
05/05/2020;3455
04/05/2020;3614
01/05/2020;3520
30/04/2020;3472
29/04/2020;3999
28/04/2020;3989
27/04/2020;4009
24/04/2020;4037
23/04/2020;3994
22/04/2020;3789
21/04/2020;3617
20/04/2020;3429
17/04/2020;3496
16/04/2020;3987
15/04/2020;3994
14/04/2020;3856
13/04/2020;3864
09/04/2020;3798
08/04/2020;3842
07/04/2020;3652
06/04/2020;3588
03/04/2020;3683
02/04/2020;3828
01/04/2020;3943
31/03/2020;3803
