fecha,riesgo_pais,dolar_blue_ARS,base_monetaria_MM_ARS,dolar_bcra_ARS,reservas_MM_USD,brecha_cambiaria_pct,ratio_ARS_USD,log_riesgo_pais,log_dolar_blue_ARS,log_dolar_bcra_ARS
2020-07-15,2341,127.0,2288,71.36,43.346,77.97,52.78,3.3694014136966244,2.103803720955957,1.8534548413680667
2020-07-14,2366,127.0,2339,71.3,43.307,78.12,54.01,3.3740147402919116,2.103803720955957,1.8530895298518655
2020-07-13,2308,127.0,2355,71.23,43.276,78.3,54.42,3.363235804483694,2.103803720955957,1.8526629443445692
2020-07-10,2299,127.0,2271,70.94,43.246,79.02,52.51,3.361538971269279,2.103803720955957,1.850891184135924
2020-07-08,2293,127.0,2271,70.94,43.246,79.02,52.51,3.3604040547299387,2.103803720955957,1.850891184135924
2020-07-07,2343,127.0,2388,70.88,43.24,79.18,55.23,3.369772288596963,2.103803720955957,1.8505237088789943
2020-07-06,2378,127.0,2374,70.82,43.253,79.33,54.89,3.376211850282673,2.103803720955957,1.8501559224220923
2020-07-03,2509,127.0,2369,70.64,43.219,79.78,54.81,3.3995006613146104,2.103803720955957,1.849050690569512
2020-07-02,2509,129.0,2377,70.58,43.203,82.77,55.02,3.3995006613146104,2.110589710299249,1.8486816540239503
2020-07-01,2497,128.0,2359,70.52,43.219,81.51,54.58,3.397418542351348,2.1072099696478683,1.8483123036272844
2020-06-30,2495,126.0,2165,70.46,43.242,78.82,50.07,3.397070549959409,2.100370545117563,1.8479426388452236
2020-06-29,2470,129.0,2202,70.4,43.201,83.24,50.97,3.392696953259666,2.110589710299249,1.8475726591421122
2020-06-26,2533,129.0,2171,70.22,43.2,83.71,50.25,3.403635189790548,2.110589710299249,1.8464608251293324
2020-06-25,2527,128.0,2141,70.16,43.197,82.44,49.56,3.4026052419199146,2.1072099696478683,1.846089580357984
2020-06-24,2514,128.0,2143,70.1,43.217,82.6,49.59,3.400365273349939,2.1072099696478683,1.8457180179666586
2020-06-23,2461,127.0,2136,70.04,43.213,81.32,49.43,3.3911116137028023,2.103803720955957,1.8453461374114086
2020-06-22,2487,127.0,2213,69.98,43.202,81.48,51.22,3.395675785269936,2.103803720955957,1.8449739381468877
2020-06-19,2541,128.0,2110,69.8,43.178,83.38,48.87,3.4050046650503694,2.1072099696478683,1.8438554226231612
2020-06-18,2603,127.0,2119,69.74,43.123,82.1,49.14,3.4154741681092355,2.103803720955957,1.8434819430399576
2020-06-17,2541,124.0,2115,69.68,43.172,77.96,48.99,3.4050046650503694,2.093421685162235,1.843108141999607
2020-06-16,2524,125.0,2121,69.62,43.17,79.55,49.13,3.402089350572097,2.0969100130080562,1.8427340189482697
2020-06-12,2578,126.0,2098,69.38,43.126,81.61,48.65,3.4112829130173843,2.100370545117563,1.841234295506041
2020-06-11,2609,123.0,2101,69.32,43.122,77.44,48.72,3.4164740791002206,2.089905111439398,1.8408585540418794
2020-06-10,2535,124.0,2128,69.26,43.041,79.04,49.44,3.403977963669355,2.093421685162235,1.840482487213442
2020-06-09,2600,124.0,2115,69.17,42.988,79.27,49.2,3.4149733479708178,2.093421685162235,1.839917775678681
2020-06-08,2478,125.0,2113,69.08,42.883,80.95,49.27,3.3941013020400446,2.0969100130080562,1.8393523288954212
2020-06-05,2555,125.0,2139,68.99,42.814,81.19,49.96,3.4073909044707316,2.0969100130080562,1.8387861449465945
2020-06-04,2534,123.0,2176,68.9,42.748,78.52,50.9,3.4038066105474227,2.089905111439398,1.8382192219076259
2020-06-03,2481,123.0,2205,68.81,42.67,78.75,51.68,3.394626764272209,2.089905111439398,1.8376515578463926
2020-06-02,2576,124.0,2218,68.72,42.66,80.44,51.99,3.4109458586877746,2.093421685162235,1.837083150823186
2020-06-01,2615,128.0,2411,68.63,42.609,86.51,56.58,3.417471693203293,2.1072099696478683,1.8365139988906714
2020-05-29,2627,125.0,2131,68.54,42.589,82.38,50.04,3.4194600727860704,2.0969100130080562,1.8359441000938481
2020-05-28,2728,124.0,2049,68.45,42.448,81.15,48.27,3.4358443659844413,2.093421685162235,1.8353734524700087
2020-05-27,2664,127.0,1984,68.36,42.499,85.78,46.68,3.4255342204982635,2.103803720955957,1.8348020540486991
2020-05-26,2631,129.0,2026,68.27,42.629,88.96,47.53,3.420120848085703,2.110589710299249,1.8342299028516773
2020-05-22,2779,126.0,1987,68.18,42.738,84.8,46.49,3.443888546777372,2.100370545117563,1.8336569968928724
2020-05-21,2784,125.0,2000,68.09,42.839,83.58,46.69,3.4446692309385245,2.0969100130080562,1.833083334178343
2020-05-20,2782,124.0,1994,68.0,42.949,82.35,46.43,3.4443571256560275,2.093421685162235,1.8325089127062364
2020-05-19,2751,124.0,2039,67.91,42.98,82.59,47.44,3.4394905903896835,2.093421685162235,1.8319337304667453
2020-05-18,2690,128.0,2256,67.82,43.047,88.73,52.41,3.429752280002408,2.1072099696478683,1.8313577854420675
2020-05-15,2837,138.0,2505,67.73,43.137,103.75,58.07,3.452859335795852,2.1398790864012365,1.8307810756063612
2020-05-14,3040,138.0,2344,67.64,43.215,104.02,54.24,3.482873583608754,2.1398790864012365,1.8302035989257042
2020-05-13,3036,133.0,2327,67.55,43.263,96.89,53.79,3.4823017672234426,2.123851640967086,1.8296253533580493
2020-05-12,3005,127.0,2391,67.46,43.351,88.26,55.15,3.4778444763387584,2.103803720955957,1.8290463368531826
2020-05-11,3111,124.5,2363,67.37,43.348,84.8,54.51,3.4929000111087034,2.095169351431755,1.8284665473526784
2020-05-08,3322,122.0,2286,67.28,43.415,81.33,52.65,3.5213996281153754,2.0863598306747484,1.8278859827898557
2020-05-07,3335,122.0,2301,67.19,43.411,81.57,53.0,3.523095838252568,2.0863598306747484,1.827304641089735
2020-05-06,3374,122.0,2357,67.1,43.4,81.82,54.31,3.5281450782531065,2.0863598306747484,1.826722520168992
2020-05-05,3455,120.0,2460,67.01,43.589,79.08,56.44,3.5384480517102173,2.0791812460476247,1.8261396179359148
2020-05-04,3614,120.0,2411,66.93,43.565,79.29,55.34,3.557988148224913,2.0791812460476247,1.8256208250035002
2020-04-30,3472,118.0,1867,66.84,43.568,76.54,42.85,3.540579716504454,2.0718820073061255,1.8250364412213538
2020-04-29,3999,121.0,1780,66.75,43.545,81.27,40.88,3.6019514041335214,2.08278537031645,1.824451270036613
2020-04-28,3989,120.0,1831,66.64,43.59,80.07,42.01,3.6008640363098396,2.0791812460476247,1.8237349883987313
2020-04-27,4009,118.0,1866,66.53,43.646,77.36,42.75,3.6030360562505215,2.0718820073061255,1.8230175234460493
